slug,title,source_id,author,duration_seconds,playbackUrl,posterUrl,heroPreviewUrl,notes
southern-style-terry-bailey,Southern Style – Terry Bailey,1909686,Terry Bailey,124,,,,
terry-bailey-iwake,Terry Bailey iwake,1909688,Terry Bailey,182,,,,
los-maleantes,Los Maleantes,1909689,Terry Bailey,236,,,,
terry-bailey-in-mexico,Terry Bailey in Mexico,1909690,Terry Bailey,57,,,,
nice-and-clean,Nice and Clean,1909693,Terry Bailey,879,,,,
nature-of-offence,Nature of Offence,1926095,Terry Bailey,671,,,,
discarded-matter,Discarded Matter,1926096,Terry Bailey,856,,,,
tape,Tape,1926101,Terry Bailey,1463,,,,
p2,P2,1926105,Terry Bailey,1927,,,,
learn-a-backside-180-with-brandon-judd,Learn a Backside 180 with Brandon Judd,1971690,Brandon Judd,918,,,,
mounting-your-boots-with-brandon-judd,Mounting Your Boots with Brandon Judd,1971702,Brandon Judd,310,,,,
coach-the-coach-with-brandon-judd,Coach the Coach with Brandon Judd,1971755,Brandon Judd,766,,,,
buying-the-right-wakeboard-with-brandon-judd,Buying the Right Wakeboard with Brandon Judd,1974164,Brandon Judd,396,,,,
in-n-out,In-N-Out,1989028,Cole Vanthof,136,,,,
a-la-cruzin,A-La-Cruzin,1996075,Cole Vanthof,282,,,,
a-la-cruzin-uncut,A-La-Cruzin (Uncut),1996076,Cole Vanthof,649,,,,
untamed-blake-bishop,Untamed - Blake Bishop,1996077,Cole Vanthof,253,,,,
untamed-uncut-blake-bishop,Untamed Uncut - Blake Bishop,1996078,Cole Vanthof,623,,,,
exit-69,EXIT 69,2023274,Cole Vanthof,2426,,,,
wakeboard-games-are-so-fun-heads-or-tails-ep-1,WAKEBOARD GAMES ARE SO FUN - Heads or Tails Ep 1,2037758,Brayden George,584,,,,
insane-wakeboard-crashes-heads-or-tails-ep5,INSANE WAKEBOARD CRASHES - Heads or Tails Ep5,2037759,Brayden George,659,,,,
the-best-wakepark-in-the-world-heads-or-tails-ep3,The Best Wakepark In The World - Heads or Tails Ep3,2037760,Brayden George,647,,,,
scary-wakeboarding-tricks-heads-or-tails-ep2,SCARY WAKEBOARDING TRICKS - Heads or Tails Ep2,2037762,Brayden George,889,,,,
chaotic-wakeboarding-competition-w-graeme-burress,CHAOTIC WAKEBOARDING COMPETITION W GRAEME BURRESS,2037763,Brayden George,1265,,,,
how-to-progress-fast-wakeboarding,HOW TO PROGRESS FAST - WAKEBOARDING,2037765,Brayden George,1489,,,,
