slug,title,sourceUrl,normalizedUrl,status,assetId,playbackId,error
southern-style-terry-bailey,Southern Style – Terry Bailey,,,skipped,,,Missing slug or source URL
terry-bailey-iwake,Terry Bailey iwake,,,skipped,,,Missing slug or source URL
los-maleantes,Los Maleantes,,,skipped,,,Missing slug or source URL
terry-bailey-in-mexico,Terry Bailey in Mexico,,,skipped,,,Missing slug or source URL
nice-and-clean,Nice and Clean,,,skipped,,,Missing slug or source URL
nature-of-offence,Nature of Offence,,,skipped,,,Missing slug or source URL
discarded-matter,Discarded Matter,,,skipped,,,Missing slug or source URL
tape,Tape,,,skipped,,,Missing slug or source URL
p2,P2,,,skipped,,,Missing slug or source URL
learn-a-backside-180-with-brandon-judd,Learn a Backside 180 with Brandon Judd,,,skipped,,,Missing slug or source URL
mounting-your-boots-with-brandon-judd,Mounting Your Boots with Brandon Judd,,,skipped,,,Missing slug or source URL
coach-the-coach-with-brandon-judd,Coach the Coach with Brandon Judd,,,skipped,,,Missing slug or source URL
buying-the-right-wakeboard-with-brandon-judd,Buying the Right Wakeboard with Brandon Judd,,,skipped,,,Missing slug or source URL
in-n-out,In-N-Out,,,skipped,,,Missing slug or source URL
a-la-cruzin,A-La-Cruzin,,,skipped,,,Missing slug or source URL
a-la-cruzin-uncut,A-La-Cruzin (Uncut),,,skipped,,,Missing slug or source URL
untamed-blake-bishop,Untamed - Blake Bishop,,,skipped,,,Missing slug or source URL
untamed-uncut-blake-bishop,Untamed Uncut - Blake Bishop,,,skipped,,,Missing slug or source URL
exit-69,EXIT 69,,,skipped,,,Missing slug or source URL
wakeboard-games-are-so-fun-heads-or-tails-ep-1,WAKEBOARD GAMES ARE SO FUN - Heads or Tails Ep 1,,,skipped,,,Missing slug or source URL
insane-wakeboard-crashes-heads-or-tails-ep5,INSANE WAKEBOARD CRASHES - Heads or Tails Ep5,,,skipped,,,Missing slug or source URL
the-best-wakepark-in-the-world-heads-or-tails-ep3,The Best Wakepark In The World - Heads or Tails Ep3,,,skipped,,,Missing slug or source URL
scary-wakeboarding-tricks-heads-or-tails-ep2,SCARY WAKEBOARDING TRICKS - Heads or Tails Ep2,,,skipped,,,Missing slug or source URL
chaotic-wakeboarding-competition-w-graeme-burress,CHAOTIC WAKEBOARDING COMPETITION W GRAEME BURRESS,,,skipped,,,Missing slug or source URL
how-to-progress-fast-wakeboarding,HOW TO PROGRESS FAST - WAKEBOARDING,,,skipped,,,Missing slug or source URL
flying-high-fluid,Flying High & Fluid,,,skipped,,,Missing slug or source URL
full-circle,Full Circle,,,skipped,,,Missing slug or source URL
south-bound-and-down,South Bound And Down,,,skipped,,,Missing slug or source URL
backstage-pass,Backstage Pass,,,skipped,,,Missing slug or source URL
sunrise-to-sunset-kneeboardingwakesurfingwakeskating,"Sunrise To Sunset ： Kneeboarding,Wakesurfing,Wakeskating",,,skipped,,,Missing slug or source URL
calvin-miller,Calvin Miller,,,skipped,,,Missing slug or source URL
coalition-vol-1,Coalition Vol. 1,,,skipped,,,Missing slug or source URL
coalition-vol-8-crash-reel,Coalition Vol. 8 Crash Reel,,,skipped,,,Missing slug or source URL
coalition-vol-5,Coalition Vol. 5,,,skipped,,,Missing slug or source URL
coalition-vol-2,Coalition Vol. 2,,,skipped,,,Missing slug or source URL
coalition-vol-4,Coalition Vol. 4,,,skipped,,,Missing slug or source URL
coalition-vol-6,Coalition Vol. 6,,,skipped,,,Missing slug or source URL
birthday-buskesses-coalition-premier-weekend,Birthday Buskesses - Coalition Premier Weekend,,,skipped,,,Missing slug or source URL
bricks,Bricks,,,skipped,,,Missing slug or source URL
coalition-vol-8,Coalition Vol. 8,,,skipped,,,Missing slug or source URL
coalition-vol-7,Coalition Vol. 7,,,skipped,,,Missing slug or source URL
